FECHA,PASAJEROS
Apr-2021,4321312
Apr-2022,8409434
Apr-2023,9181384
Aug-2021,6374594
Aug-2022,8693394
Aug-2023,9283779
Dec-2021,9292568
Dec-2022,10905638
Feb-2021,4306643
Feb-2022,6643276
Feb-2023,7355168
Jan-2021,4595204
Jan-2022,8523410
Jan-2023,9778979
Jul-2021,5812707
Jul-2022,9115631
Jul-2023,10101647
Jun-2021,4590585
Jun-2022,8015174
Jun-2023,9337431
Mar-2021,5478071
Mar-2022,7583607
Mar-2023,8556126
May-2021,2166088
May-2022,7391870
May-2023,8388431
Nov-2021,7092753
Nov-2022,8651273
Oct-2021,7249212
Oct-2022,9031520
Sep-2021,6286538
Sep-2022,8377735
Sep-2023,1118835
Sep-2222,13
